2026-06-28 17:09:11,738 | DEBUG    | httpcore.http11:atrace:87 | send_request_body.started request=<Request [b'GET']>
2026-06-28 17:09:11,739 | DEBUG    | httpcore.http11:atrace:87 | send_request_body.complete
2026-06-28 17:09:11,741 | DEBUG    | httpcore.http11:atrace:87 | receive_response_headers.started request=<Request [b'GET']>
2026-06-28 17:09:51,698 | DEBUG    | httpcore.http11:atrace:87 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'image/jpeg'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Date', b'Sun, 28 Jun 2026 11:39:51 GMT'), (b'X-Content-Type-Options', b'nosniff'), (b'X-Model-Used', b'sana'), (b'CF-Ray', b'a12c68d46f13c203-BOM'), (b'CF-Cache-Status', b'DYNAMIC'), (b'Access-Control-Allow-Origin', b'*'), (b'Cache-Control', b'public, max-age=31536000, immutable'), (b'Content-Disposition', b'inline; filename="simple-illustration-of-4s-15s-cut-to-text-overlays-with-the-following-points-introducing-ai-powere.jpg"'), (b'Server', b'cloudflare'), (b'Strict-Transport-Security', b'max-age=0; includeSubDomains; preload'), (b'Access-Control-Allow-Headers', b'Content-Type, X-PAYMENT'), (b'Access-Control-Allow-Methods', b'GET, POST, OPTIONS'), (b'Access-Control-Expose-Headers', b'X-Auth-Status'), (b'Access-Control-Expose-Headers', b'X-Auth-Reason'), (b'Access-Control-Expose-Headers', b'X-PAYMENT-RESPONSE'), (b'Access-Control-Expose-Headers', b'X-Debug-Token'), (b'Access-Control-Expose-Headers', b'X-Debug-Token-Source'), (b'Access-Control-Expose-Headers', b'X-Debug-Referrer'), (b'Access-Control-Expose-Headers', b'X-Debug-Legacy-Token-Match'), (b'Access-Control-Expose-Headers', b'X-Debug-Allowlist-Match'), (b'Access-Control-Expose-Headers', b'X-Debug-User-Id'), (b'Nel', b'{"report_to":"cf-nel","success_fraction":0.0,"max_age":604800}'), (b'Report-To', b'{"group":"cf-nel","max_age":604800,"endpoints":[{"url":"https://a.nel.cloudflare.com/report/v4?s=cS%2F2mvf9Z4lfgCWbIvqa%2FhW68BrFc9toAJg5wMRFtfSam8S8xaVB0kM7Q60Vi6AUc8Nz%2B4w8Tpd9Xfx7K3Hq1VM0rKshyMvb20N3eDRsxchau%2BcNUcHfS0EqnR05P2WmLeRZdMSjOlKLdOeXJGhm58M%2FJOty28DF9Xzc"}]}'), (b'X-Usage-Total-Tokens', b'1'), (b'X-Auth-Result', b'NONE'), (b'X-Auth-Status', b'unauthenticated'), (b'X-Usage-Completion-Image-Tokens', b'1'), (b'X-Cache', b'Miss from cloudfront'), (b'Via', b'1.1 843c2012772a24994ef21de01dc4441e.cloudfront.net (CloudFront)'), (b'X-Amz-Cf-Pop', b'BOM78-P6'), (b'X-Amz-Cf-Id', b'N2mKQK5ouY87Z0YsSu5bNKYNVcgVJWk8l146iSnEQESqPaHMd_AkEg=='), (b'Vary', b'Accept-Encoding')])
2026-06-28 17:09:51,700 | INFO     | httpx:_send_single_request:1740 | HTTP Request: GET https://image.pollinations.ai/prompt/Simple%20illustration%20of%204s-15s%20%28Cut%20to%20text%20overlays%20with%20the%20following%20points%29%20Introducing%20AI-powered%20automation%20for%20your%20tasks%2C%20clean%20digital%20art%20style?width=1024&height=1024 "HTTP/1.1 200 OK"
2026-06-28 17:09:51,701 | DEBUG    | httpcore.http11:atrace:87 | receive_response_body.started request=<Request [b'GET']>
2026-06-28 17:09:51,762 | DEBUG    | httpcore.http11:atrace:87 | receive_response_body.complete
2026-06-28 17:09:51,766 | DEBUG    | httpcore.http11:atrace:87 | response_closed.started
2026-06-28 17:09:51,781 | DEBUG    | httpcore.http11:atrace:87 | response_closed.complete
2026-06-28 17:09:51,783 | INFO     | autovideofactory.services.pipeline:_download_asset:267 | Downloaded asset: output\assets\scene_3.jpg (66688 bytes)
